tipo_region,codigo,region,cordon,conurbano,cuencas,superficie,poblacion,creacion,densidad,indice_masculinidad,vivienda_casa_a,vivienda_casa_b,vivienda_casa_ni,vivienda_casilla,vivienda_rancho,vivienda_departamento,vivienda_inquilinato,vivienda_hotel,vivienda_local,vivienda_movil,vivienda_calle,vivienda_calmat_1,vivienda_calmat_2,vivienda_calmat_3,vivienda_calmat_4,vivienda_calmat_5,vivienda_calmat_ni,vivienda_satisfactoria,vivienda_basica,vivienda_insuficiente,vivienda_servicio_ni,vivienda_deficitaria_recuperable,vivienda_deficitaria_no_recuperable,vivienda_deficitaria_calle,vivienda_deficitaria_ni,hogares,hogares_nbi_sin,hogares_nbi_con_alto,hogares_nbi_con_medio,hogares_nbi_con_bajo,hacinamiento,hacinamiento_no,hacinamiento_critico,hacinamiento_ni,poblacion_14_anios,pea,pea_ocupada,pea_desocupada,no_pea,pbg_bienes,pbg_servicios,pbg_a,pbg_b,pbg_c,pbg_d,pbg_e,pbg_f,pbg_g,pbg_h,pbg_i,pbg_j,pbg_k,pbg_l,pbg_m,pbg_n,pbg_o,pbg_p
partido,35,Avellaneda,1,sur,matanza-riachuelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,434,Lanús,1,sur,matanza-riachuelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,490,Lomas de Zamora,1,sur,matanza-riachuelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,427,La Matanza,1,oeste,matanza-riachuelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,568,Morón,1,oeste,matanza-riachuelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,840,Tres de Febrero,1,norte,reconquista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,371,General San Martín,1,norte,reconquista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,861,Vicente López,1,norte,reconquista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,756,San Isidro,1,norte,reconquista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,658,Quilmes,2,sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,91,Berazategui,2,sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,274,Florencio Varela,2,sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,260,Esteban Echeverría,2,sur,matanza-riachuelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,270,Ezeiza,2,sur,matanza-riachuelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,560,Moreno,2,oeste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,539,Merlo,2,oeste,Matanza-riachuelo;reconquista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,515,Malvinas Argentinas,2,norte,reconquista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,408,Hurlingham,2,oeste,reconquista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,410,Ituzaingó,2,oeste,Matanza-riachuelo;reconquista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,805,Tigre,2,norte,reconquista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,749,San Fernando,2,norte,reconquista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,412,José C. Paz,2,oeste,reconquista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,760,San Miguel,2,norte,reconquista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,28,Almirante Brown,2,sur,matanza-riachuelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
provincia,1,Buenos Aires,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pais,1,Argentina,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,